content,score,user_id,product_id
이번 대용량 기획은 원터치 제품이 아니라 돌려서 여는 거라 아쉬워요. 양이 많아서 그런가봐요..ㅠㅠ 항상 원터치로 편하게 쓰다가 돌려서 여닫으니 불편하네요. ,3,1,1
빠른 시간 안에 피부 열을 내려줘요,4,1,2
윤스테이 방송을 보다가 정유미 씨가 사용하는 거 보고 괜찮아 보이길래 구매했어요.,4,1,3
2-3년전쯤 처음 사용해보고 꾸준하게 사용해오고 있어요! 많이 구매해서 사용 중인데 한 달 전에 구매한게 벌써 얼마 안남았네요.. ,5,1,4
여름철에는 무겁게 느껴졌다면 이젠 슬슬 시원한 바람이 불어오는 가을에는 꼭 마무리로 발라줘야하는 크림으로 정할 것 같아요,5,1,5
유명템인데는 이유가 있어요  ,5,2,1
앞으로도 착한성분과 믿을수있는 브랜드 이름값 해줬으면 좋겠네요,5,2,2
향은 정말 아무향도 안 나는거라 향에 민감하심 분들은 애용할 제품이에요,5,2,3
명불허전 겨울철 보습에 아쥬우 좋은 크림이네요,5,2,4
유분이 너무 과하면 피지분비로  트러블 생길까봐 걱정했는데 유수분 밸런스 잘 맞는 좋은 크림인 것 같아요,5,3,1
개인적으로 오일감이 남는거랑 무거운 느낌은 전 별로 였어요 그래도 별 네개준건 촉촉한 느낌이 좀 지속력 있다는점에 순하다는 점에 별하나더해서 네개 줬네요^^,4,3,2
아침저녁 둘 다 발라도 화장 밀림 없고 흡수 잘되니 계속계속 잘 쓸 것 같아요,4,3,3
아침보다는 저녁에 사용하는 거 추천드려요,4,4,4
진짜 한번 써보세여 끈적이지도 않고 수분 충만한 수분크림을 찾으신다면 이거만한거 없다 생각하면서 이거만 쓰실걸요??,3,5,5
저는 민감한 건성 피부이구요 유명 유튜버가 순하다고 추천해서 구매하게 됬어요! ,5,6,6
일단 제형이 좀 무거운편이라 전 여름보다는 겨울에 사용을 추천해요,5,7,7
수분크림만 사용하는 지성 피부타입인 남자친구한테도 로션이 잘 맞을 거 같아 선물하려고요 ,5,8,8
되게 잘발리고 발랐을때 피부도 편안하고 보습도 있고 좋았어요! 재구매할 것 같아용,5,9,9
이제 더 추워지는 데 건성이신분들은 정말 추천드려요,5,10,10
캡슐이 쏙쏙 터지면서 촉촉하고 부드럽게 발려요.,4,11,11
가격대비 좋아요,4,12,12
건성분들이나 수부지 분들에게 추천합니다,5,13,13
아이들에게 올인원으로 쓰면 좋을 것 같아요,5,14,14
좋은성분이여서 믿음갇고 꾸준히 사용중이예요,5,15,15
방향제가 따로 필요 없어요 비누가 향이 너무 좋아요 ,5,16,15
향이 정말 좋네요 완전 강추 합니다,5,17,16
추천추천추천추천 완전 추천,5,18,17
역시 믿고 보는 러쉬 입니다,5,19,18
러쉬는 진리 강추템 ,5,20,19
여자친구 선물로 구매했는데 여자친구가 정말 좋아하네요,5,20,20
